MANDT,KNUMV,KPOSN,STUNR,ZAEHK,KAPPL,KSCHL,KDATU,KRECH,KAWRT,KBETR,WAERS,KKURS,KPEIN,KMEIN,KUMZA,KUMNE,KNTYP,KSTAT,KNPRS,KRUEK,KRELI,KHERK,KGRPE,KOUPD,KOLNR,KNUMH,KOPOS,KVSL1,SAKN1,MWSK1,KVSL2,SAKN2,MWSK2,LIFNR,KUNNR,KDIFF,KWERT,KSTEU,KINAK,KOAID,ZAEKO,KMXAW,KMXWR,KFAKTOR,KDUPL,KFAKTOR1,KZBZG,KSTBS,KONMS,KONWS,KAWRT_K,KWAEH,KWERT_K,KFKIV,KVARC,KMPRS,PRSQU,VARCOND,STUFE,WEGXX,KTREL,MDFLG,TXJLV,KBFLAG,KOLNR3,CPF_GUID,KAQTY
375,1,10,11,1,V,PR00,5/27/16,C,20,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,54087,1,ERL,,,,,,,,0,"6,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,1,10,930,1,V,SKTO,5/27/16,A,6000,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,1,10,940,1,V,VPRS,5/27/16,C,20,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"2,800.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"2,800.00",,,,,,0,0,,,,0,0,,0
375,2,10,11,1,V,PR00,5/27/16,C,50,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,54086,1,ERL,,,,,,,,0,"15,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,2,10,930,1,V,SKTO,5/27/16,A,15000,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,2,10,940,1,V,VPRS,5/27/16,C,50,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"7,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"7,000.00",,,,,,0,0,,,,0,0,,0
375,3,10,11,1,V,PR00,5/27/16,C,80,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,54085,1,ERL,,,,,,,,0,"24,000.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
375,3,10,930,1,V,SKTO,5/27/16,A,24000,0.00,,,0,,0,0,E,X,,,,A,,,0,,0,,,,,,,,,0,0,A,,A,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,0,0,,0
375,3,10,940,1,V,VPRS,5/27/16,C,80,1400.00,USD,1,1,EA,1,1,G,X,,,,A,,,0,,0,,,,,,,,,0,"11,200.00",A,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,USD,"11,200.00",,,,,,0,0,,,,0,0,,0
375,7,10,11,1,V,PR00,5/27/16,C,80,3000.00,USD,1,1,EA,1,1,,,,,,A,,,40,54085,1,ERL,600000,,,,,,,0,"24,000.00",D,,B,0,,,0.00E+00,,0.00E+00,,0,,,0,,0,,,,,,0,0,,,,100,0,,0
